1, 10, 10000001.26582e+07
10.0903
11.5887
11.6396
11.5289
11.9034
11.9155
11.9054
11.9171
11.9077
2, 10, 10000001.51515e+07
18.0969
20.3314
20.4349
20.1603
21.1581
21.2094
21.2651
21.3301
21.241
3, 10, 10000001.36986e+07
22.3825
25.6731
25.9278
25.5089
27.1989
27.2707
27.4725
27.5449
27.3418
4, 10, 10000001.26582e+07
23.8984
23.4562
27.7846
27.4075
29.4108
29.4192
29.4741
29.4821
29.0897
5, 10, 10000001.13636e+07
21.3164
24.535
24.8946
24.8381
25.8358
25.7692
26.0399
26.745
26.112
6, 10, 10000001.28205e+07
22.4945
26.6188
26.7951
26.4501
28.2721
28.1821
28.0186
28.1188
28.0447
7, 10, 10000001.44928e+07
23.715
27.4574
27.8394
27.3559
29.4024
29.1592
29.6447
29.2708
29.594
8, 10, 10000001.23457e+07
23.7246
27.3028
27.6918
26.7165
28.709
29.0403
28.9646
28.8198
28.5501
